Unnamed: 0,Universidad,Facultad,Título,Tipo de Título,Duración,Condiciones de Ingreso,Domicilio,Teléfono,Web,Mail,Disciplina,Provincia,Ámbito,Estrategica
10,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Técnico Universitario en Turismo,Título Intermedio,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
11,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad,Técnico Universitario en Turismo,Título Intermedio,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 43427788,www.uai.edu.ar ,contacto@uai.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
12,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Guía Universitario en Turismo,Otros Pregrados,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía,Santa Fé,Privado,False
13,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Guía Universitario en Turismo,Otros Pregrados,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía,Santa Fé,Privado,False
14,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Licenciado en Hotelería,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía,Santa Fé,Privado,False
15,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Licenciado en Hotelería,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía,Santa Fé,Privado,False
16,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Licenciado en Turismo,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía,Santa Fé,Privado,False
17,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Licenciado en Turismo,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía,Santa Fé,Privado,False
18,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Técnico Universitario en Hotelería,Título Intermedio,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía,Santa Fé,Privado,False
19,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Técnico Universitario en Hotelería,Título Intermedio,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía,Santa Fé,Privado,False
20,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Técnico Universitario en Turismo,Título Intermedio,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía,Santa Fé,Privado,False
21,Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Técnico Universitario en Turismo,Título Intermedio,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía,Santa Fé,Privado,False
22,Universidad Argentina de la Empresa,Facultad de Comunicación,Guía Bilingüe de Turismo,Otros Pregrados,2.5 Años,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
23,Universidad Argentina de la Empresa,Facultad de Comunicación,Guía Bilingüe de Turismo,Otros Pregrados,2.5 Años,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
24,Universidad Argentina de la Empresa,Facultad de Comunicación,Licenciado en Turismo y Hotelería,Grado,4 Años,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
25,Universidad Argentina de la Empresa,Facultad de Comunicación,Licenciado en Turismo y Hotelería,Grado,4 Años,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
26,Universidad Argentina de la Empresa,Facultad de Comunicación,Técnico Universitario en Turismo y Hotelería,Título Intermedio,5 Cuatrimestres,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
27,Universidad Argentina de la Empresa,Facultad de Comunicación,Técnico Universitario en Turismo y Hotelería,Título Intermedio,5 Cuatrimestres,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
28,Universidad Argentina de la Empresa,Facultad de Comunicación y Diseño,Técnico Universitario en Turismo y Hotelería,Título Intermedio,5 Cuatrimestres,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
29,Universidad Argentina de la Empresa,Facultad de Comunicación y Diseño,Técnico Universitario en Turismo y Hotelería,Título Intermedio,5 Cuatrimestres,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
30,Universidad Argentina John F. Kennedy,Facultad de Ciencias Económicas y Empresariales,Licenciado en Turismo,Grado,4 Años,Ingreso Directo,Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(00800) 2225366,http://www.kennedy.edu.ar/ ,info@kennedy.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
31,Universidad Argentina John F. Kennedy,Facultad de Ciencias Económicas y Empresariales,Licenciado en Turismo,Grado,4 Años,Ingreso Directo,Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(00800) 2225366,http://www.kennedy.edu.ar/ ,info@kennedy.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
32,Universidad Argentina John F. Kennedy,Facultad de Ciencias Económicas y Empresariales,Licenciado en Turismo - MD,Grado,4 Años,Consulte con la Institución,Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(00800) 2225366,http://www.kennedy.edu.ar/ ,info@kennedy.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
33,Universidad Argentina John F. Kennedy,Facultad de Ciencias Económicas y Empresariales,Licenciado en Turismo - MD,Grado,4 Años,Consulte con la Institución,Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(00800) 2225366,http://www.kennedy.edu.ar/ ,info@kennedy.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
34,Universidad Argentina John F. Kennedy,Facultad de Ciencias Económicas y Empresariales,Técnico Universitario en Turismo,Título Intermedio,2.5 Años,Ingreso Directo,Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(00800) 2225366,http://www.kennedy.edu.ar/ ,info@kennedy.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
35,Universidad Argentina John F. Kennedy,Facultad de Ciencias Económicas y Empresariales,Técnico Universitario en Turismo,Título Intermedio,2.5 Años,Ingreso Directo,Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(00800) 2225366,http://www.kennedy.edu.ar/ ,info@kennedy.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
36,Universidad Argentina John F. Kennedy,Facultad de Ciencias Económicas y Empresariales,Técnico Universitario en Turismo - MD,Título Intermedio,2.5 Años,Ingreso Directo,Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(00800) 2225366,http://www.kennedy.edu.ar/ ,info@kennedy.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
37,Universidad Argentina John F. Kennedy,Facultad de Ciencias Económicas y Empresariales,Técnico Universitario en Turismo - MD,Título Intermedio,2.5 Años,Ingreso Directo,Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(00800) 2225366,http://www.kennedy.edu.ar/ ,info@kennedy.edu.ar,Demografía y Geografía,Ciudad Autonoma de Buenos Aires,Privado,False
38,Universidad Atlántida Argentina,ANEXO MAR DEL PLATA,Guía de Turismo,Título Intermedio,3 Años,Asistencia a Curso de Ingreso o Nivelación,ARENALES 2740 - Mar Del Plata - Buenos Aires ,(00223) 4915400,http://www.atlantida.edu.ar/ ,universidad@mdp.atlantida.edu.ar,Demografía y Geografía,Buenos Aires,Privado,False
39,Universidad Atlántida Argentina,ANEXO MAR DEL PLATA,Guía de Turismo,Título Intermedio,3 Años,Asistencia a Curso de Ingreso o Nivelación,ARENALES 2740 - Mar Del Plata - Buenos Aires ,(00223) 4915400,http://www.atlantida.edu.ar/ ,universidad@mdp.atlantida.edu.ar,Demografía y Geografía,Buenos Aires,Privado,False
40,Universidad Atlántida Argentina,ANEXO MAR DEL PLATA,Licenciado en Turismo,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,ARENALES 2740 - Mar Del Plata - Buenos Aires ,(00223) 4915400,http://www.atlantida.edu.ar/ ,universidad@mdp.atlantida.edu.ar,Demografía y Geografía,Buenos Aires,Privado,False
41,Universidad Atlántida Argentina,ANEXO MAR DEL PLATA,Licenciado en Turismo,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,ARENALES 2740 - Mar Del Plata - Buenos Aires ,(00223) 4915400,http://www.atlantida.edu.ar/ ,universidad@mdp.atlantida.edu.ar,Demografía y Geografía,Buenos Aires,Privado,False
42,Universidad Atlántida Argentina,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,Guía de Turismo,Título Intermedio,3 Años,Asistencia a Curso de Ingreso o Nivelación,DIAG. RIVADAVIA 515 - Mar De Ajo - Buenos Aires ,(002257) 420338,http://www.atlantida.edu.ar/ ,universidad@atlantida.edu.ar,Demografía y Geografía,Buenos Aires,Privado,False
43,Universidad Atlántida Argentina,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,Guía de Turismo,Título Intermedio,3 Años,Asistencia a Curso de Ingreso o Nivelación,DIAG. RIVADAVIA 515 - Mar De Ajo - Buenos Aires ,(002257) 420338,http://www.atlantida.edu.ar/ ,universidad@atlantida.edu.ar,Demografía y Geografía,Buenos Aires,Privado,False
44,Universidad Atlántida Argentina,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,Licenciado en Turismo,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,DIAG. RIVADAVIA 515 - Mar De Ajo - Buenos Aires ,(002257) 420338,http://www.atlantida.edu.ar/ ,universidad@atlantida.edu.ar,Demografía y Geografía,Buenos Aires,Privado,False
45,Universidad Atlántida Argentina,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,Licenciado en Turismo,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,DIAG. RIVADAVIA 515 - Mar De Ajo - Buenos Aires ,(002257) 420338,http://www.atlantida.edu.ar/ ,universidad@atlantida.edu.ar,Demografía y Geografía,Buenos Aires,Privado,False
46,Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Federación,Técnico en Hotelería,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,Las Violetas 853 - Colonia La Argentina - Entre Ríos ,(003456) 481558, , ,Demografía y Geografía,Entre Ríos,Público,False
47,Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Federación,Técnico en Hotelería,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,Las Violetas 853 - Colonia La Argentina - Entre Ríos ,(003456) 481558, , ,Demografía y Geografía,Entre Ríos,Público,False
48,Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Gualeguaychú,Técnico en Hotelería,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,25 de Mayo 497 - Gualeguaychu - Entre Ríos ,(003446) 427456, ,fcghoteleriagualeguaychu@hotmail.com,Demografía y Geografía,Entre Ríos,Público,False
49,Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Gualeguaychú,Técnico en Hotelería,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,25 de Mayo 497 - Gualeguaychu - Entre Ríos ,(003446) 427456, ,fcghoteleriagualeguaychu@hotmail.com,Demografía y Geografía,Entre Ríos,Público,False
50,Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Paraná,Licenciado en Turismo,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Urquiza 1225 - Paraná - Entre Ríos ,(00343) 4211538, ,fcg_prensa@uader.edu.ar,Demografía y Geografía,Entre Ríos,Público,False
51,Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Paraná,Licenciado en Turismo,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Urquiza 1225 - Paraná - Entre Ríos ,(00343) 4211538, ,fcg_prensa@uader.edu.ar,Demografía y Geografía,Entre Ríos,Público,False
52,Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Paraná,Técnico en Turismo,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,Urquiza 1225 - Paraná - Entre Ríos ,(00343) 4211538, ,fcg_prensa@uader.edu.ar,Demografía y Geografía,Entre Ríos,Público,False
53,Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Paraná,Técnico en Turismo,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,Urquiza 1225 - Paraná - Entre Ríos ,(00343) 4211538, ,fcg_prensa@uader.edu.ar,Demografía y Geografía,Entre Ríos,Público,False
54,Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Uruguay,Licenciado en Turismo,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Leguizamon 24 - Concepcion Del Uruguay - Entre Ríos ,(003442) 425554, ,fcg_sedeuruguay@uader.edu.ar,Demografía y Geografía,Entre Ríos,Público,False
55,Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Uruguay,Licenciado en Turismo,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Leguizamon 24 - Concepcion Del Uruguay - Entre Ríos ,(003442) 425554, ,fcg_sedeuruguay@uader.edu.ar,Demografía y Geografía,Entre Ríos,Público,False
56,Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Uruguay,Técnico en Turismo,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,Leguizamon 24 - Concepcion Del Uruguay - Entre Ríos ,(003442) 425554, ,fcg_sedeuruguay@uader.edu.ar,Demografía y Geografía,Entre Ríos,Público,False
57,Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Uruguay,Técnico en Turismo,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,Leguizamon 24 - Concepcion Del Uruguay - Entre Ríos ,(003442) 425554, ,fcg_sedeuruguay@uader.edu.ar,Demografía y Geografía,Entre Ríos,Público,False
58,Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Villaguay,Técnico en Turismo,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,Mitre 22 - Villaguay - Entre Ríos ,(003455) 424026,www.fcgvillaguay.com.ar ,turismo@fcgvillaguay.com.ar,Demografía y Geografía,Entre Ríos,Público,False
59,Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Villaguay,Técnico en Turismo,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,Mitre 22 - Villaguay - Entre Ríos ,(003455) 424026,www.fcgvillaguay.com.ar ,turismo@fcgvillaguay.com.ar,Demografía y Geografía,Entre Ríos,Público,False
60,Universidad Autónoma de Entre Ríos,"Facultad de Humanidades, Artes y Ciencias Sociales. Sede Paraná",Licenciado en Geografía,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,Justo José de Urquiza 900 - Paraná - Entre Ríos ,(00343) 4209702,http://fhaycs-uader.edu.ar/ ,comunicacion@fhaycs.uader.edu.ar,Demografía y Geografía,Entre Ríos,Público,True
61,Universidad Autónoma de Entre Ríos,"Facultad de Humanidades, Artes y Ciencias Sociales. Sede Paraná",Licenciado en Geografía,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,Justo José de Urquiza 900 - Paraná - Entre Ríos ,(00343) 4209702,http://fhaycs-uader.edu.ar/ ,comunicacion@fhaycs.uader.edu.ar,Demografía y Geografía,Entre Ríos,Público,True
62,Universidad Autónoma de Entre Ríos,"Facultad de Humanidades, Artes y Ciencias Sociales. Sede Paraná",Profesor de Geografía,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Justo José de Urquiza 900 - Paraná - Entre Ríos ,(00343) 4209702,http://fhaycs-uader.edu.ar/ ,comunicacion@fhaycs.uader.edu.ar,Demografía y Geografía,Entre Ríos,Público,True
63,Universidad Autónoma de Entre Ríos,"Facultad de Humanidades, Artes y Ciencias Sociales. Sede Paraná",Profesor de Geografía,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Justo José de Urquiza 900 - Paraná - Entre Ríos ,(00343) 4209702,http://fhaycs-uader.edu.ar/ ,comunicacion@fhaycs.uader.edu.ar,Demografía y Geografía,Entre Ríos,Público,True
64,Universidad Autónoma de Entre Ríos,"Facultad de Humanidades, Artes y Ciencias Sociales. Sede Uruguay",Licenciado en Geografía,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,Jordana 50 - Concepcion Del Uruguay - Entre Ríos ,(003442) 425559, , ,Demografía y Geografía,Entre Ríos,Público,True
65,Universidad Autónoma de Entre Ríos,"Facultad de Humanidades, Artes y Ciencias Sociales. Sede Uruguay",Licenciado en Geografía,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,Jordana 50 - Concepcion Del Uruguay - Entre Ríos ,(003442) 425559, , ,Demografía y Geografía,Entre Ríos,Público,True
66,Universidad Autónoma de Entre Ríos,"Facultad de Humanidades, Artes y Ciencias Sociales. Sede Uruguay",Profesor de Geografía,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Jordana 50 - Concepcion Del Uruguay - Entre Ríos ,(003442) 425559, , ,Demografía y Geografía,Entre Ríos,Público,True
67,Universidad Autónoma de Entre Ríos,"Facultad de Humanidades, Artes y Ciencias Sociales. Sede Uruguay",Profesor de Geografía,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Jordana 50 - Concepcion Del Uruguay - Entre Ríos ,(003442) 425559, , ,Demografía y Geografía,Entre Ríos,Público,True
68,Universidad Blas Pascal,Vicerrectorado de Asuntos Académicos,Licenciado en Turismo,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Donato Álvarez 380 - Córdoba - Córdoba ,(00351) 4144444,http://www.ubp.edu.ar/ ,informes@ubp.edu.ar,Demografía y Geografía,Córodoba,Privado,False
69,Universidad Blas Pascal,Vicerrectorado de Asuntos Académicos,Licenciado en Turismo,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Donato Álvarez 380 - Córdoba - Córdoba ,(00351) 4144444,http://www.ubp.edu.ar/ ,informes@ubp.edu.ar,Demografía y Geografía,Córodoba,Privado,False
70,Universidad Blas Pascal,Vicerrectorado de Asuntos Académicos,Licenciado en Turismo - MD,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Donato Álvarez 380 - Córdoba - Córdoba ,(00351) 4144444,http://www.ubp.edu.ar/ ,informes@ubp.edu.ar,Demografía y Geografía,Córodoba,Privado,False
71,Universidad Blas Pascal,Vicerrectorado de Asuntos Académicos,Licenciado en Turismo - MD,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Donato Álvarez 380 - Córdoba - Córdoba ,(00351) 4144444,http://www.ubp.edu.ar/ ,informes@ubp.edu.ar,Demografía y Geografía,Córodoba,Privado,False
72,Universidad Blas Pascal,Vicerrectorado de Asuntos Académicos,Técnico Universitario en Administración de Empresas de Turismo - MD,Otros Pregrados,2 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Donato Álvarez 380 - Córdoba - Córdoba ,(00351) 4144444,http://www.ubp.edu.ar/ ,informes@ubp.edu.ar,Demografía y Geografía,Córodoba,Privado,True
73,Universidad Blas Pascal,Vicerrectorado de Asuntos Académicos,Técnico Universitario en Administración de Empresas de Turismo - MD,Otros Pregrados,2 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Donato Álvarez 380 - Córdoba - Córdoba ,(00351) 4144444,http://www.ubp.edu.ar/ ,informes@ubp.edu.ar,Demografía y Geografía,Córodoba,Privado,True
